交易日期,总市值,净利润,股票数量,平均市盈率
2017-06-26,4432341338364.159,90475089416.09488,567,48.98963202987094
2017-06-27,4431672865414.819,90469409669.43758,567,48.985318701730506
2017-06-28,4365170055683.803,89944096568.17474,566,48.53203514446492
2017-06-29,4400223001210.742,90153084749.36526,567,48.80834653016932
2017-06-30,4394859408174.5796,90115731840.5503,567,48.769058613991966
2017-07-03,4469669993175.048,90555392706.292,567,49.358407706010475
2017-07-04,4467771772502.023,90842803471.02347,568,49.181350660618136
2017-07-05,4503707948910.062,90840796960.14432,568,49.57803211354506
2017-07-06,4510482139357.809,90759717219.26903,568,49.696961135971854
2017-07-07,4542882377748.208,90825239748.48189,569,50.01784074920805
2017-07-10,4462466000000.0,90732829713.11913,568,49.18248459911935
2017-07-11,4388218778227.0474,90644908935.87003,568,48.41108926847342
2017-07-12,4385027855782.9893,88694095992.70235,569,49.439906982577334
2017-07-13,4346137251542.318,88469538003.21564,566,49.125804764396385
2017-07-14,4294686469202.7363,88782486417.59804,567,48.373126756128606
2017-07-17,3994052135061.1216,88219392501.88556,567,45.27408341624836
2017-07-18,3999787585793.8477,87956682848.88889,564,45.47451604860488
2017-07-19,4031263734461.3374,87968194987.45648,564,45.82637776114608
2017-07-20,4043057584241.7466,88068977389.65556,565,45.90785205048421
2017-07-21,4043834748464.5327,88136858819.33322,566,45.88131234349708
2017-07-24,4053604885878.6396,88239190011.00124,566,45.93882701522142
2017-07-25,4053061749277.022,88259899637.77321,565,45.92189392817307
2017-07-26,4036926820250.5527,88198816289.51108,564,45.770759632412876
2017-07-27,4201479934761.341,88429729851.85512,565,47.51207474906925
2017-07-28,4178006810272.32,88664927444.77396,566,47.121301857204394
2017-07-31,4208742278587.4087,89440875381.01013,570,47.05613916074214
2017-08-01,4231432157687.6006,90389136079.90623,574,46.81350371516893
2017-08-02,4182622681749.0425,90538407569.59314,576,46.197219434570165
2017-08-03,4216862904322.8506,90851937753.19148,576,46.41467214247413
2017-08-04,4159459393369.5874,90524757805.69965,575,45.94830733816885
2017-08-07,4186164776940.9077,90486493849.166,574,46.262868621243314
2017-08-08,4238609918597.5454,90932494895.53146,575,46.61270894928273
2017-08-09,4262400905082.0977,91467324390.05415,577,46.600257889970344
2017-08-10,4251601016867.249,91853510041.88275,581,46.28675610685571
2017-08-11,4212173778696.2925,91686959627.40091,580,45.94081640195944
2017-08-14,4337911159957.7803,92281259052.65518,580,47.00749864587989
2017-08-15,4354438761391.6523,91054376363.48125,580,47.822399485875415
2017-08-16,4422165223078.5205,91111596974.11417,579,48.53570094194384
2017-08-17,4374177641139.9907,86941924567.79567,575,50.31148853541987
2017-08-18,4351337442312.0073,87534480425.44342,579,49.709981954119364
2017-08-21,4456868033688.569,92364539831.88748,586,48.25302049683251
2017-08-22,4424724354023.852,94122012662.3043,588,47.01051570049931
2017-08-23,4418777930023.491,93733724411.36642,589,47.141815368723975
2017-08-24,4407515307060.4,94277550896.8275,589,46.75042218569889
2017-08-25,4506317035789.045,95687405195.8541,598,47.094150233935835
2017-08-28,4618004429684.059,97650927781.50412,604,47.29094269351884
2017-08-29,4643526978362.737,102592223648.5468,615,45.261978083935524
2017-08-30,4714615415422.641,103344039000.76003,617,45.62058403182759
2017-08-31,4762125992403.248,103260273657.61299,617,46.1176968036454
2017-09-01,4838899131766.681,103399316394.13487,622,46.798173339192
2017-09-04,4880587065219.3125,103200124710.69759,620,47.292453171942704
2017-09-05,4930222661317.126,103634712996.98996,623,47.57308163202346
2017-09-06,4987464145404.31,103645191070.58954,624,48.120555270215114
2017-09-07,4958507422340.28,103333901878.37505,623,47.98529168265115
2017-09-08,4945420268207.29,103244124751.66785,621,47.900258538705856
2017-09-11,4923907220231.922,102828393966.71272,619,47.8847041200106
2017-09-12,4860286015379.571,102632064870.03563,616,47.356408755238604
2017-09-13,4898769953012.449,102839742090.54187,617,47.63498870601492
2017-09-14,4896115834676.368,103176247543.44162,618,47.45390485939987
2017-09-15,4876244000000.0,103169645250.32681,619,47.264328457934226
2017-09-18,4997192348387.531,103513620044.29015,619,48.27569885247365
2017-09-19,5000768826145.442,103713524642.59377,623,48.21713314033581
2017-09-20,5029844199690.863,103170373103.76291,623,48.752796450897115
2017-09-21,4967014119025.125,103229408494.05525,623,48.11627027109396
2017-09-22,4966698671909.532,103299696629.33818,624,48.080476845262474
2017-09-25,4922422033138.987,103646157726.9562,624,47.49256645004186
2017-09-26,4897690202252.16,103541626369.05426,625,47.301654165594066
2017-09-27,4947018755496.4,103432833893.23328,624,47.82832074970385
2017-09-28,4936486334024.329,103453470427.49529,625,47.71697182922476
2017-09-29,5020458659463.18,104328003933.71312,628,48.12187016108377
2017-10-09,5086777136560.599,104522745713.47414,628,48.66670026546056
2017-10-10,5180982448177.348,104553609434.06033,628,49.55335809276752
2017-10-11,5110107973190.5205,104719675656.40103,625,48.79797364878644
2017-10-12,5116264963875.818,105250189147.97208,625,48.61050612158826
2017-10-13,5169207918226.176,105265030381.71466,625,49.106601684162975
2017-10-16,5011089349953.024,105125869875.61546,625,47.66751852690614
2017-10-17,4993935832036.796,104926134829.95578,623,47.594775506884076
2017-10-18,4939489442853.878,104893092080.1885,622,47.090702970961566
2017-10-19,4925667728930.24,104988916066.45912,623,46.91607374832063
2017-10-20,4980359493983.488,104969063440.93283,622,47.44597437306838
2017-10-23,5043060733898.133,104962739581.41098,624,48.04619957529447
2017-10-24,5014493079158.657,104902564716.28085,624,47.80143452851548
2017-10-25,5062256943350.373,105161421172.7666,624,48.13796625127137
2017-10-26,5085187984849.143,106394003725.43138,626,47.79581373751451
2017-10-27,5093036821304.343,107143722446.3213,637,47.534626434655934
2017-10-30,5030716801390.652,106471101068.9844,647,47.24959872567831
2017-10-31,5126028323476.355,107080610277.91757,651,47.870742519791726
2017-11-01,5161814934645.061,107072397000.31284,651,48.20864274318972
2017-11-02,5119312185976.16,107256796120.61276,653,47.72949007556942
2017-11-03,5087664947490.316,107227484257.55902,652,47.44739637152926
2017-11-06,5125835921296.1045,106475848123.38208,650,48.14083204443123
2017-11-07,5152049544536.189,106339533581.61389,649,48.44905155223456
2017-11-08,5162534030748.457,106285378588.75883,649,48.57238219683462
2017-11-09,5211615235171.706,106309657977.40044,650,49.022970577890526
2017-11-10,5229643747367.199,105833716381.53865,650,49.41377782212554
2017-11-13,5261707936802.323,105922396252.3067,650,49.67512181530483
2017-11-14,5195405971356.639,105481759644.37088,648,49.25406998207861
2017-11-15,5096979591485.152,105331863375.64217,646,48.389722047429586
2017-11-16,4977150729750.526,104923883510.24269,643,47.4358226481834
2017-11-17,4793127955898.004,105266241071.47992,645,45.53338190012201
2017-11-20,4854448884934.372,105418786767.67564,642,46.049181875264026
2017-11-21,4838907572556.39,105591001648.23845,643,45.82689336233904
2017-11-22,4850670863029.919,105776515750.71242,644,45.857729653921304
2017-11-23,4817199447956.448,106494578812.25311,646,45.23422226448759
2017-11-24,4784301125770.364,106604886536.2249,647,44.878816358428686
2017-11-27,4694306280369.268,106443040323.78781,648,44.10158020749608
2017-11-28,4784483129579.839,106086824932.1176,647,45.09969199890104
2017-11-29,4743689496366.563,105925738231.32663,645,44.783162011172635
2017-11-30,4720101630181.369,105870920047.3599,645,44.5835516312685
2017-12-01,4783098770310.78,105764693119.05977,643,45.22396490978729
2017-12-04,4680925842666.24,105428083309.18541,640,44.399231170110966
2017-12-05,4565151637883.069,105655935173.93332,643,43.20771597324663
2017-12-06,4641497210906.402,105686625450.75636,642,43.917545773746575
2017-12-07,4647059403200.558,105846782995.34805,643,43.90364328224123
2017-12-08,4676924723525.932,105248333190.24898,643,44.43704315081009
2017-12-11,4768928251892.152,106487881170.05453,644,44.78376505845271
2017-12-12,4690244939888.93,106032814466.93677,642,44.23390026444545
2017-12-13,4714071319445.979,105868760579.5522,640,44.527500781533355
2017-12-14,4707698340709.791,106085994621.63304,641,44.37624737836787
2017-12-15,4738485946164.551,106983009016.62276,644,44.2919486909206
2017-12-18,4657483661005.48,105713497106.09187,641,44.05760653562834
2017-12-19,4724932892140.582,106250582136.83694,641,44.46971298524729
2017-12-20,4692849421445.149,106570873449.59467,644,44.03500946874334
2017-12-21,4726582023515.662,106433074222.84206,645,44.40895894465548
2017-12-22,4703140226993.619,106471271113.99347,645,44.1728569386403
2017-12-25,4628090052164.109,106445385633.96593,644,43.47854089306169
2017-12-26,4641417925076.635,106211622006.68864,642,43.69971795350553
2017-12-27,4607355404479.03,106351074465.79024,642,43.322133110757335
2017-12-28,4596107430840.421,105672613879.45692,640,43.49383688079583
2017-12-29,4635402645206.544,105674933333.14551,640,43.86473214601617
2018-01-02,4664321133401.562,105602988584.09053,641,44.168457691776524
2018-01-03,4721461092305.181,105612113723.35962,641,44.70567746302831
2018-01-04,4697536444926.601,105451663674.4688,638,44.546821560141346
2018-01-05,4725696177992.672,106367701403.86674,641,44.42792422532204
2018-01-08,4725404663359.929,106507172481.2421,643,44.367008843391844
2018-01-09,4720758247658.249,106481141443.0348,642,44.33421903336523
2018-01-10,4691795095690.986,106482118818.51085,642,44.06181195255635
