code,start,param,stock_rtn,stock_md,stock_md_start,stock_md_end,strategy_rtn,strategy_md,strategy_md_start,strategy_md_end,excessive_rtn
sh600401,2006-01-04,24,-0.16306104067566385,-0.9773518527333074,2015-06-15,2019-06-21,0.16593500019841012,-0.6594387853507647,2015-06-15,2019-07-08,0.32899604087407397
sh600401,2006-01-04,26,-0.16306104067566385,-0.9773518527333074,2015-06-15,2019-06-21,0.13722120844723218,-0.6748718973000969,2015-06-15,2019-07-08,0.30028224912289603
sh600401,2006-01-04,28,-0.16306104067566385,-0.9773518527333074,2015-06-15,2019-06-21,0.10244776324569749,-0.7049984647927606,2007-05-29,2009-01-13,0.26550880392136134
sh600401,2006-01-04,30,-0.16306104067566385,-0.9773518527333074,2015-06-15,2019-06-21,0.11716973188052915,-0.7049984647927605,2007-05-29,2009-01-13,0.280230772556193
sh600367,2006-01-04,10,0.036204111840730135,-0.820789498887241,2007-10-15,2008-11-04,0.11396324924756263,-0.5992097281815005,2009-07-27,2010-08-03,0.07775913740683249
sh600367,2006-01-04,12,0.036204111840730135,-0.820789498887241,2007-10-15,2008-11-04,-0.015115470322174529,-0.8087945845487512,2009-07-27,2020-03-13,-0.051319582162904664
sh600367,2006-01-04,14,0.036204111840730135,-0.820789498887241,2007-10-15,2008-11-04,0.03650927812467941,-0.7716849171414155,2011-04-18,2020-03-13,0.00030516628394927636
sh600367,2006-01-04,16,0.036204111840730135,-0.820789498887241,2007-10-15,2008-11-04,-0.02104210905478021,-0.7666184894719081,2007-10-15,2020-03-13,-0.05724622089551035
sh600367,2006-01-04,18,0.036204111840730135,-0.820789498887241,2007-10-15,2008-11-04,-0.01550495998132595,-0.7212582595937534,2007-10-15,2020-03-13,-0.051709071822056085
sh600367,2006-01-04,20,0.036204111840730135,-0.820789498887241,2007-10-15,2008-11-04,-0.03936063477811369,-0.8276311409375029,2007-10-15,2020-03-13,-0.07556474661884383
sh600367,2006-01-04,22,0.036204111840730135,-0.820789498887241,2007-10-15,2008-11-04,-0.029720622499847638,-0.8089782210558616,2010-11-01,2020-03-13,-0.06592473434057777
sh600367,2006-01-04,24,0.036204111840730135,-0.820789498887241,2007-10-15,2008-11-04,-0.03670690602673932,-0.840047441909527,2010-11-01,2020-03-13,-0.07291101786746945
sh600367,2006-01-04,26,0.036204111840730135,-0.820789498887241,2007-10-15,2008-11-04,-0.08644005089798634,-0.9279032819295681,2007-10-15,2020-03-13,-0.12264416273871648
sh600367,2006-01-04,28,0.036204111840730135,-0.820789498887241,2007-10-15,2008-11-04,-0.09236641751672747,-0.9273478607471175,2010-11-01,2020-03-13,-0.1285705293574576
sh600367,2006-01-04,30,0.036204111840730135,-0.820789498887241,2007-10-15,2008-11-04,-0.0780168915155105,-0.9165171561603824,2010-11-01,2020-03-13,-0.11422100335624064
sz300297,2012-03-28,10,0.11777353309470451,-0.7881333056285525,2015-12-21,2020-02-04,0.10715628736531868,-0.54149350884882,2015-11-16,2020-03-13,-0.010617245729385827
sz300297,2012-03-30,12,0.12657820571028688,-0.7881333056285525,2015-12-21,2020-02-04,0.0036917830708071975,-0.6884942536323446,2015-11-16,2020-03-13,-0.12288642263947969
sz300297,2012-04-06,14,0.11684343829669852,-0.7881333056285525,2015-12-21,2020-02-04,-0.04269584107328939,-0.7839897191712807,2015-11-16,2020-03-13,-0.1595392793699879
sz300297,2012-04-10,16,0.10952187850911188,-0.7881333056285525,2015-12-21,2020-02-04,-0.0326158566892899,-0.8522867010691799,2015-11-16,2020-03-13,-0.14213773519840178
sz300297,2012-04-12,18,0.10641222723803767,-0.7881333056285525,2015-12-21,2020-02-04,-0.009607978066380363,-0.8038440065244468,2015-11-16,2020-03-13,-0.11602020530441803
sz300297,2012-04-16,20,0.11049399435263618,-0.7881333056285525,2015-12-21,2020-02-04,-0.03595408289991897,-0.832528407723761,2015-12-21,2020-03-13,-0.14644807725255515
sz300297,2012-04-18,22,0.10328762680551162,-0.7881333056285525,2015-12-21,2020-02-04,-0.02460879181829223,-0.7585357188178843,2015-07-24,2020-03-13,-0.12789641862380385
sz300297,2012-04-20,24,0.10293285868401925,-0.7881333056285525,2015-12-21,2020-02-04,-0.05296844646241028,-0.7850247151836757,2015-07-24,2020-03-13,-0.15590130514642953
sz300297,2012-04-24,26,0.12111788099665266,-0.7881333056285525,2015-12-21,2020-02-04,-0.024309926804976567,-0.7512317213200376,2015-07-24,2020-03-13,-0.14542780780162923
sz300297,2012-04-26,28,0.11994761602261872,-0.7881333056285525,2015-12-21,2020-02-04,-3.589276871163172e-05,-0.7238294343290526,2015-07-24,2020-03-13,-0.11998350879133035
sz300297,2012-05-02,30,0.11450575810413666,-0.7881333056285525,2015-12-21,2020-02-04,0.017325727912085087,-0.6427454134276006,2015-07-24,2020-03-13,-0.09718003019205157
sz000549,2006-02-15,10,2.835698782514964,-0.2796596416914924,2006-07-12,2006-08-07,1.9515950874225934,-0.1508460543915494,2006-07-12,2006-07-31,-0.8841036950923709
sz000549,2006-02-15,12,2.835698782514964,-0.2796596416914924,2006-07-12,2006-08-07,2.092209974849061,-0.20074308939807528,2006-02-28,2006-04-27,-0.7434888076659032
sz000549,2006-02-15,14,2.835698782514964,-0.2796596416914924,2006-07-12,2006-08-07,1.5494334555530465,-0.22436300026445422,2006-07-12,2006-09-26,-1.2862653269619178
sz000549,2006-02-15,16,2.835698782514964,-0.2796596416914924,2006-07-12,2006-08-07,1.4696231415414154,-0.27343388711040006,2006-07-12,2006-09-26,-1.3660756409735488
sz000549,2006-02-15,18,2.835698782514964,-0.2796596416914924,2006-07-12,2006-08-07,1.634922582653235,-0.27343388711039984,2006-07-12,2006-09-26,-1.2007761998617292
sz000549,2006-02-15,20,2.835698782514964,-0.2796596416914924,2006-07-12,2006-08-07,1.634922582653231,-0.27343388711039995,2006-07-12,2006-09-26,-1.2007761998617332
sz000549,2006-02-15,22,2.835698782514964,-0.2796596416914924,2006-07-12,2006-08-07,1.5274914736064615,-0.25971888958937994,2006-07-12,2006-10-30,-1.3082073089085027
sz000549,2006-02-15,24,2.835698782514964,-0.2796596416914924,2006-07-12,2006-08-07,1.2987044809254535,-0.24451048578603995,2006-07-12,2006-11-13,-1.5369943015895107
