candle_end_time,open,high,low,close,amount,info
1993-08-26,913.270,914.150,896.000,903.910,170181.000,
1993-08-27,903.470,903.770,886.300,894.590,411331.000,
1993-08-30,901.090,911.180,884.510,899.270,231769.000,
1993-08-31,895.760,909.720,893.990,895.680,169092.000,
1993-09-01,898.010,900.180,886.570,893.970,245553.000,
1993-09-02,894.270,901.390,893.000,901.390,171555.000,
1993-09-03,907.890,926.110,905.710,922.690,323167.000,
1993-09-06,940.460,947.530,933.740,947.530,497808.000,
1993-09-07,947.120,947.120,908.290,909.040,345943.000,
1993-09-08,907.980,918.260,896.560,909.130,263978.000,
1993-09-09,911.950,914.790,900.820,901.660,237052.000,
1993-09-10,887.830,908.910,887.650,903.560,171504.000,
1993-09-13,895.620,895.620,873.550,879.240,295061.000,
1993-09-14,875.140,879.930,865.610,876.620,138935.000,
1993-09-15,876.380,903.240,876.250,880.780,100190.000,
1993-09-16,885.020,885.790,874.350,875.080,114538.000,
1993-09-17,874.510,883.170,868.740,881.410,142358.000,
1993-09-20,875.970,878.230,865.740,875.000,177121.000,
1993-09-21,875.130,896.680,875.130,890.230,266000.000,
1993-09-22,891.050,892.320,881.040,881.240,179431.000,
1993-09-23,882.680,888.820,881.680,884.020,172348.000,
1993-09-24,873.160,915.060,864.380,875.810,467085.000,
1993-09-27,876.610,884.300,876.390,880.980,312158.000,
1993-09-28,886.110,898.150,883.920,898.150,559591.000,
1993-09-29,904.760,909.840,885.460,886.120,488693.000,
1993-09-30,887.130,896.580,883.550,890.270,524829.000,
1993-10-04,895.690,901.370,891.330,892.550,563427.000,
1993-10-05,894.370,896.000,885.040,885.860,357402.000,
1993-10-06,886.330,891.130,879.420,885.040,436477.000,
1993-10-07,887.000,934.400,880.990,887.620,1618620.000,
1993-10-08,897.720,898.900,874.280,874.760,1195029.000,
1993-10-11,872.950,879.680,866.930,868.380,635129.000,
1993-10-12,868.480,875.620,866.850,871.420,554008.000,
1993-10-13,874.360,879.290,854.790,859.700,607545.000,
1993-10-14,858.330,859.480,848.530,855.040,417466.000,
1993-10-15,855.670,862.540,854.970,856.920,268426.000,
1993-10-18,852.820,852.820,835.250,835.250,554464.000,
1993-10-19,839.200,846.390,836.770,839.600,576583.000,
1993-10-20,843.580,846.780,837.970,843.850,691591.000,
1993-10-21,846.250,846.430,831.870,832.250,742610.000,
1993-10-22,827.750,844.500,818.810,818.810,1056350.000,
1993-10-25,792.780,797.480,774.540,784.970,813706.000,
1993-10-26,789.250,792.430,781.130,783.230,995520.000,
1993-10-27,787.790,789.410,776.410,778.380,901030.000,
1993-10-28,779.640,829.100,778.270,824.660,1160729.000,
1993-10-29,834.510,834.790,809.800,814.820,999240.000,
1993-11-01,801.860,823.250,801.860,816.710,646970.000,
1993-11-02,821.850,824.490,810.810,812.670,549002.000,
1993-11-03,812.630,814.740,804.730,805.710,571874.000,
1993-11-04,804.660,806.660,793.320,804.260,504402.000,
1993-11-05,804.260,816.400,803.030,814.390,518531.000,
1993-11-08,833.260,836.990,819.090,836.990,818185.000,
1993-11-09,840.890,846.150,834.750,846.150,679881.000,
1993-11-10,848.450,856.770,828.660,833.170,1169090.000,
1993-11-11,836.550,851.440,836.550,848.270,1114970.000,
1993-11-12,858.200,868.910,858.200,865.970,983108.000,
1993-11-15,875.800,893.420,875.800,890.460,1354359.000,
1993-11-16,890.920,891.430,876.610,880.330,1278609.000,
1993-11-17,881.930,894.960,881.930,887.650,1062979.000,
1993-11-18,895.690,903.280,892.410,903.070,877492.000,
1993-11-19,907.410,924.670,904.600,924.670,1620729.000,
1993-11-22,924.670,954.350,898.490,949.770,1884340.000,
1993-11-23,955.820,971.460,949.820,957.950,2135690.000,
1993-11-24,955.240,963.620,945.430,953.230,1893819.000,
1993-11-25,959.900,992.890,959.900,986.690,2354819.000,
1993-11-26,986.690,1011.760,963.460,965.390,1918990.000,
1993-11-29,968.440,974.850,956.340,972.960,1386640.000,
1993-11-30,984.540,990.400,979.080,984.930,1603179.000,
1993-12-01,993.670,993.740,971.490,974.800,1217879.000,
1993-12-02,974.350,980.940,964.430,972.800,778227.000,
1993-12-03,975.650,982.100,970.100,980.670,806229.000,
1993-12-06,986.120,1004.010,979.720,995.720,2062969.000,
1993-12-07,1006.700,1022.340,1006.700,1022.340,2402830.000,
1993-12-08,1044.850,1044.850,1004.020,1009.670,2223640.000,
1993-12-09,1016.780,1016.780,969.950,984.900,1246420.000,
1993-12-10,986.020,994.480,957.650,978.570,1284579.000,
1993-12-13,982.380,982.380,947.830,950.770,986699.000,
1993-12-14,942.010,953.670,914.950,925.200,920583.000,
1993-12-15,926.050,940.610,903.820,940.610,988407.000,
1993-12-16,941.430,948.360,908.080,908.080,979969.000,
1993-12-17,884.470,913.330,884.470,901.700,902744.000,
1993-12-20,823.770,836.040,750.460,783.790,1319579.000,
1993-12-21,786.820,840.340,778.930,840.340,1239170.000,
